date,split,exercise_id,exercise,log_name,set,reps,weight_lb,per_hand,laterality,skipped,untracked,raw
2026-08-08,push,ex40,TRX Tricep Extension,TRX tricep extensions,1,12,,,,,,"12, 11, 10 — 33 vs 36"
2026-08-08,push,ex40,TRX Tricep Extension,TRX tricep extensions,2,11,,,,,,"12, 11, 10 — 33 vs 36"
2026-08-08,push,ex40,TRX Tricep Extension,TRX tricep extensions,3,10,,,,,,"12, 11, 10 — 33 vs 36"
2026-08-05,pull,ex20,Chin-Up,Chin-ups,1,10,,,,,,"10, 8, 7 — 25 vs 29 on 07-31, at a deliberate slow tempo"
2026-08-05,pull,ex20,Chin-Up,Chin-ups,2,8,,,,,,"10, 8, 7 — 25 vs 29 on 07-31, at a deliberate slow tempo"
2026-08-05,pull,ex20,Chin-Up,Chin-ups,3,7,,,,,,"10, 8, 7 — 25 vs 29 on 07-31, at a deliberate slow tempo"
2026-08-05,pull,ex49,TRX T-Row,TRX rows,1,20,,,,,,"20, 16, 20 — 56 vs 63"
2026-08-05,pull,ex49,TRX T-Row,TRX rows,2,16,,,,,,"20, 16, 20 — 56 vs 63"
2026-08-05,pull,ex49,TRX T-Row,TRX rows,3,20,,,,,,"20, 16, 20 — 56 vs 63"
2026-08-05,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),1,14,,,,,,"14, 16, 13 — 43 vs 48"
2026-08-05,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),2,16,,,,,,"14, 16, 13 — 43 vs 48"
2026-08-05,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),3,13,,,,,,"14, 16, 13 — 43 vs 48"
2026-08-05,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,1,9,45,,,,,"9, 9, 8 @ 45 lb — 26 vs 35"
2026-08-05,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,2,9,45,,,,,"9, 9, 8 @ 45 lb — 26 vs 35"
2026-08-05,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,3,8,45,,,,,"9, 9, 8 @ 45 lb — 26 vs 35"
2026-08-05,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,1,7,40,,,,,"7, 6, 5 @ 40 lb — 18 vs 25"
2026-08-05,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,2,6,40,,,,,"7, 6, 5 @ 40 lb — 18 vs 25"
2026-08-05,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,3,5,40,,,,,"7, 6, 5 @ 40 lb — 18 vs 25"
2026-08-02,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,1,13,80,yes,,,,"13, 13, 13 @ 80 lb/hand — 39 vs 35 on 07-28, all three sets even; grip held"
2026-08-02,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,2,13,80,yes,,,,"13, 13, 13 @ 80 lb/hand — 39 vs 35 on 07-28, all three sets even; grip held"
2026-08-02,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,3,13,80,yes,,,,"13, 13, 13 @ 80 lb/hand — 39 vs 35 on 07-28, all three sets even; grip held"
2026-08-02,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,1,10,80,yes,,,,"10, 10, 10 @ 80 lb/hand — 30 vs 27; clean 3×10 at the weight that broke down last time"
2026-08-02,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,2,10,80,yes,,,,"10, 10, 10 @ 80 lb/hand — 30 vs 27; clean 3×10 at the weight that broke down last time"
2026-08-02,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,3,10,80,yes,,,,"10, 10, 10 @ 80 lb/hand — 30 vs 27; clean 3×10 at the weight that broke down last time"
2026-08-02,legs,ex-trx-squat,TRX Squat,TRX squats,1,20,,,,,,"20, 20, 15 — 55 vs 60, but at a new leaned-back angle"
2026-08-02,legs,ex-trx-squat,TRX Squat,TRX squats,2,20,,,,,,"20, 20, 15 — 55 vs 60, but at a new leaned-back angle"
2026-08-02,legs,ex-trx-squat,TRX Squat,TRX squats,3,15,,,,,,"20, 20, 15 — 55 vs 60, but at a new leaned-back angle"
2026-08-02,legs,ex15,Calf Raise,Calf raises,,,,,,,yes,"3 sets to exhaustion (standing rule, untracked)"
2026-08-02,legs,ex35,Glute Bridge,Glute bridges,1,30,80,,,,,"30, 30, 30 @ 80 lb — matched 07-28"
2026-08-02,legs,ex35,Glute Bridge,Glute bridges,2,30,80,,,,,"30, 30, 30 @ 80 lb — matched 07-28"
2026-08-02,legs,ex35,Glute Bridge,Glute bridges,3,30,80,,,,,"30, 30, 30 @ 80 lb — matched 07-28"
2026-08-01,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,1,10,60,yes,,,,"10, 10, 9 @ 60 lb/hand — 29 total, tied 07-26 (10, 11, 8); did not beat it"
2026-08-01,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,2,10,60,yes,,,,"10, 10, 9 @ 60 lb/hand — 29 total, tied 07-26 (10, 11, 8); did not beat it"
2026-08-01,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,3,9,60,yes,,,,"10, 10, 9 @ 60 lb/hand — 29 total, tied 07-26 (10, 11, 8); did not beat it"
2026-08-01,push,ex03,Push-up,Push-ups,1,12,,,,,,"12, 11, 9 — 32 total, +2 vs 07-26 and +1 over the previous best of 31 on 07-19"
2026-08-01,push,ex03,Push-up,Push-ups,2,11,,,,,,"12, 11, 9 — 32 total, +2 vs 07-26 and +1 over the previous best of 31 on 07-19"
2026-08-01,push,ex03,Push-up,Push-ups,3,9,,,,,,"12, 11, 9 — 32 total, +2 vs 07-26 and +1 over the previous best of 31 on 07-19"
2026-08-01,push,ex33,Dips,Dips,1,12,,,,,,"12, 11, 10 — 33 total, +1 vs 07-26"
2026-08-01,push,ex33,Dips,Dips,2,11,,,,,,"12, 11, 10 — 33 total, +1 vs 07-26"
2026-08-01,push,ex33,Dips,Dips,3,10,,,,,,"12, 11, 10 — 33 total, +1 vs 07-26"
2026-08-01,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),1,10,30,yes,,,,"10, 7, 7 @ 30 lb/hand — 24 total vs 27 on 07-26; intentionally held back because shoulders felt a little weird, prioritizing safety over the rep target"
2026-08-01,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),2,7,30,yes,,,,"10, 7, 7 @ 30 lb/hand — 24 total vs 27 on 07-26; intentionally held back because shoulders felt a little weird, prioritizing safety over the rep target"
2026-08-01,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),3,7,30,yes,,,,"10, 7, 7 @ 30 lb/hand — 24 total vs 27 on 07-26; intentionally held back because shoulders felt a little weird, prioritizing safety over the rep target"
2026-08-01,push,ex40,TRX Tricep Extension,TRX tricep extensions,1,12,,,,,,"12, 12, 12 — 36 total, +1 vs 07-26; clean 3×12"
2026-08-01,push,ex40,TRX Tricep Extension,TRX tricep extensions,2,12,,,,,,"12, 12, 12 — 36 total, +1 vs 07-26; clean 3×12"
2026-08-01,push,ex40,TRX Tricep Extension,TRX tricep extensions,3,12,,,,,,"12, 12, 12 — 36 total, +1 vs 07-26; clean 3×12"
2026-07-31,pull,ex20,Chin-Up,Chin-ups,1,10,,,,,,"10, 10, 9 — 29 vs 28 on 07-24"
2026-07-31,pull,ex20,Chin-Up,Chin-ups,2,10,,,,,,"10, 10, 9 — 29 vs 28 on 07-24"
2026-07-31,pull,ex20,Chin-Up,Chin-ups,3,9,,,,,,"10, 10, 9 — 29 vs 28 on 07-24"
2026-07-31,pull,ex49,TRX T-Row,TRX rows,1,25,,,,,,"25, 20, 18 — 63 vs 75, but at the steeper foot angle; the drop-off is the point, 25s no longer free"
2026-07-31,pull,ex49,TRX T-Row,TRX rows,2,20,,,,,,"25, 20, 18 — 63 vs 75, but at the steeper foot angle; the drop-off is the point, 25s no longer free"
2026-07-31,pull,ex49,TRX T-Row,TRX rows,3,18,,,,,,"25, 20, 18 — 63 vs 75, but at the steeper foot angle; the drop-off is the point, 25s no longer free"
2026-07-31,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),1,16,,,,,,"16, 16, 16 — 48 vs 44"
2026-07-31,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),2,16,,,,,,"16, 16, 16 — 48 vs 44"
2026-07-31,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),3,16,,,,,,"16, 16, 16 — 48 vs 44"
2026-07-31,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,1,12,45,,,,,"12, 12, 11 @ 45 lb — dropped from 50 for clean full range; 35 vs 28, one rep off 3×12"
2026-07-31,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,2,12,45,,,,,"12, 12, 11 @ 45 lb — dropped from 50 for clean full range; 35 vs 28, one rep off 3×12"
2026-07-31,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,3,11,45,,,,,"12, 12, 11 @ 45 lb — dropped from 50 for clean full range; 35 vs 28, one rep off 3×12"
2026-07-31,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,1,10,40,,,,,"10, 7, 8 @ 40 lb — 25 vs 28, the only lift down"
2026-07-31,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,2,7,40,,,,,"10, 7, 8 @ 40 lb — 25 vs 28, the only lift down"
2026-07-31,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,3,8,40,,,,,"10, 7, 8 @ 40 lb — 25 vs 28, the only lift down"
2026-07-28,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,1,12,80,yes,,,,"12, 10, 13 @ 80 lb/hand — took the bump from 70; 35 reps vs 37, but volume 2800 vs 2590/hand"
2026-07-28,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,2,10,80,yes,,,,"12, 10, 13 @ 80 lb/hand — took the bump from 70; 35 reps vs 37, but volume 2800 vs 2590/hand"
2026-07-28,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,3,13,80,yes,,,,"12, 10, 13 @ 80 lb/hand — took the bump from 70; 35 reps vs 37, but volume 2800 vs 2590/hand"
2026-07-28,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,1,10,80,yes,,,,"10, 10, 7 @ 80 lb/hand — grip failed before the legs did on all three"
2026-07-28,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,2,10,80,yes,,,,"10, 10, 7 @ 80 lb/hand — grip failed before the legs did on all three"
2026-07-28,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,3,7,80,yes,,,,"10, 10, 7 @ 80 lb/hand — grip failed before the legs did on all three"
2026-07-28,legs,ex-trx-squat,TRX Squat,TRX squats,1,20,,,,,,"20, 20, 20 — 60 vs 58, beat it"
2026-07-28,legs,ex-trx-squat,TRX Squat,TRX squats,2,20,,,,,,"20, 20, 20 — 60 vs 58, beat it"
2026-07-28,legs,ex-trx-squat,TRX Squat,TRX squats,3,20,,,,,,"20, 20, 20 — 60 vs 58, beat it"
2026-07-28,legs,ex15,Calf Raise,Calf raises,,,,,,,yes,"to exhaustion (standing rule, untracked)"
2026-07-28,legs,ex35,Glute Bridge,Glute bridges,1,30,80,,,,,"30, 30, 30 @ 80 lb — same reps at +10 lb"
2026-07-28,legs,ex35,Glute Bridge,Glute bridges,2,30,80,,,,,"30, 30, 30 @ 80 lb — same reps at +10 lb"
2026-07-28,legs,ex35,Glute Bridge,Glute bridges,3,30,80,,,,,"30, 30, 30 @ 80 lb — same reps at +10 lb"
2026-07-28,legs,ex47,Box Step-up,Box step-ups,,,,,,yes,,skipped
2026-07-26,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,1,10,60,yes,,,,"10, 11, 8 @ 60 lb/hand — 29 vs 28 on 07-19"
2026-07-26,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,2,11,60,yes,,,,"10, 11, 8 @ 60 lb/hand — 29 vs 28 on 07-19"
2026-07-26,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,3,8,60,yes,,,,"10, 11, 8 @ 60 lb/hand — 29 vs 28 on 07-19"
2026-07-26,push,ex03,Push-up,Push-ups,1,11,,,,,,"11, 11, 8 — 30 vs 31; went for 3×11, third set fell off"
2026-07-26,push,ex03,Push-up,Push-ups,2,11,,,,,,"11, 11, 8 — 30 vs 31; went for 3×11, third set fell off"
2026-07-26,push,ex03,Push-up,Push-ups,3,8,,,,,,"11, 11, 8 — 30 vs 31; went for 3×11, third set fell off"
2026-07-26,push,ex33,Dips,Dips,1,12,,,,,,"12, 10, 10 — 32 vs 27 on 07-13 (07-19 morning dips never numbered)"
2026-07-26,push,ex33,Dips,Dips,2,10,,,,,,"12, 10, 10 — 32 vs 27 on 07-13 (07-19 morning dips never numbered)"
2026-07-26,push,ex33,Dips,Dips,3,10,,,,,,"12, 10, 10 — 32 vs 27 on 07-13 (07-19 morning dips never numbered)"
2026-07-26,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),1,10,30,yes,,,,"10, 9, 8 @ 30 lb/hand — first session at 30 after clearing 3×12 at 25; volume 810 vs 875, est. 1RM 40 vs 36. Holding 30 until 12/12/12"
2026-07-26,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),2,9,30,yes,,,,"10, 9, 8 @ 30 lb/hand — first session at 30 after clearing 3×12 at 25; volume 810 vs 875, est. 1RM 40 vs 36. Holding 30 until 12/12/12"
2026-07-26,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),3,8,30,yes,,,,"10, 9, 8 @ 30 lb/hand — first session at 30 after clearing 3×12 at 25; volume 810 vs 875, est. 1RM 40 vs 36. Holding 30 until 12/12/12"
2026-07-26,push,ex40,TRX Tricep Extension,TRX tricep extensions,1,11,,,,,,"11, 12, 12 — 35 vs 31"
2026-07-26,push,ex40,TRX Tricep Extension,TRX tricep extensions,2,12,,,,,,"11, 12, 12 — 35 vs 31"
2026-07-26,push,ex40,TRX Tricep Extension,TRX tricep extensions,3,12,,,,,,"11, 12, 12 — 35 vs 31"
2026-07-24,pull,ex20,Chin-Up,Chin-ups,1,10,,,,,,"10, 10, 8 — 28 vs 27 on 07-17"
2026-07-24,pull,ex20,Chin-Up,Chin-ups,2,10,,,,,,"10, 10, 8 — 28 vs 27 on 07-17"
2026-07-24,pull,ex20,Chin-Up,Chin-ups,3,8,,,,,,"10, 10, 8 — 28 vs 27 on 07-17"
2026-07-24,pull,ex49,TRX T-Row,TRX rows (T's),1,25,,,,,,"25, 25, 25 — 75 vs 65; all three capped at exactly 25, not hard"
2026-07-24,pull,ex49,TRX T-Row,TRX rows (T's),2,25,,,,,,"25, 25, 25 — 75 vs 65; all three capped at exactly 25, not hard"
2026-07-24,pull,ex49,TRX T-Row,TRX rows (T's),3,25,,,,,,"25, 25, 25 — 75 vs 65; all three capped at exactly 25, not hard"
2026-07-24,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),1,14,,,,,,"14, 15, 15 — 44 vs 41"
2026-07-24,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),2,15,,,,,,"14, 15, 15 — 44 vs 41"
2026-07-24,pull,ex-yfly,TRX Y-Fly,Curtain openers (TRX Y flies),3,15,,,,,,"14, 15, 15 — 44 vs 41"
2026-07-24,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,1,9,,,,,,"9, 10, 9 @ 50 — 28, dead even with 07-17, but mostly clean instead of mostly not"
2026-07-24,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,2,10,,,,,,"9, 10, 9 @ 50 — 28, dead even with 07-17, but mostly clean instead of mostly not"
2026-07-24,pull,ex18,Dumbbell Upright Row,Dumbbell upright rows,3,9,,,,,,"9, 10, 9 @ 50 — 28, dead even with 07-17, but mostly clean instead of mostly not"
2026-07-24,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,1,10,,,,,,"10, 9, 9 @ 40 — 28 vs 26"
2026-07-24,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,2,9,,,,,,"10, 9, 9 @ 40 — 28 vs 26"
2026-07-24,pull,ex25,Incline Hammer Curl,Incline dumbbell hammer curls,3,9,,,,,,"10, 9, 9 @ 40 — 28 vs 26"
2026-07-23,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,1,12,70,yes,,,,"12, 12, 13 @ 70 lb/hand — clear 80s next time"
2026-07-23,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,2,12,70,yes,,,,"12, 12, 13 @ 70 lb/hand — clear 80s next time"
2026-07-23,legs,ex-dl,Dumbbell Deadlift,Dumbbell deadlifts,3,13,70,yes,,,,"12, 12, 13 @ 70 lb/hand — clear 80s next time"
2026-07-23,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,1,12,70,yes,,,,"12, 12, 12 @ 70 lb/hand — 80s next time too"
2026-07-23,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,2,12,70,yes,,,,"12, 12, 12 @ 70 lb/hand — 80s next time too"
2026-07-23,legs,ex36,Stiff-Legged Deadlift,Stiff-legged deadlifts,3,12,70,yes,,,,"12, 12, 12 @ 70 lb/hand — 80s next time too"
2026-07-23,legs,ex-trx-squat,TRX Squat,TRX squats,1,20,,,,,,"20, 20, 18"
2026-07-23,legs,ex-trx-squat,TRX Squat,TRX squats,2,20,,,,,,"20, 20, 18"
2026-07-23,legs,ex-trx-squat,TRX Squat,TRX squats,3,18,,,,,,"20, 20, 18"
2026-07-23,legs,ex15,Calf Raise,Calf raises,,,,,,,yes,"3 sets to exhaustion (standing rule: always to exhaustion, untracked)"
2026-07-23,legs,ex35,Glute Bridge,Glute bridges,1,30,70,,,,,"30, 30, 30 @ 70 lb on pelvis"
2026-07-23,legs,ex35,Glute Bridge,Glute bridges,2,30,70,,,,,"30, 30, 30 @ 70 lb on pelvis"
2026-07-23,legs,ex35,Glute Bridge,Glute bridges,3,30,70,,,,,"30, 30, 30 @ 70 lb on pelvis"
2026-07-23,legs,ex47,Box Step-up,Box step-ups,1,10,,,per_leg,,,10/leg — the shatter-test finisher
2026-07-19,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,1,10,60,yes,,,,"10, 10, 8 @ 60 lb/hand — 28 vs 26 on 07-13, +7.7%; chest pre-smoked from morning dips"
2026-07-19,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,2,10,60,yes,,,,"10, 10, 8 @ 60 lb/hand — 28 vs 26 on 07-13, +7.7%; chest pre-smoked from morning dips"
2026-07-19,push,ex32,Incline Dumbbell Bench Press,Incline dumbbell bench press,3,8,60,yes,,,,"10, 10, 8 @ 60 lb/hand — 28 vs 26 on 07-13, +7.7%; chest pre-smoked from morning dips"
2026-07-19,push,ex03,Push-up,Push-ups,1,11,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex03,Push-up,Push-ups,2,10,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex03,Push-up,Push-ups,3,10,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex40,TRX Tricep Extension,TRX tricep extensions,1,11,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex40,TRX Tricep Extension,TRX tricep extensions,2,10,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex40,TRX Tricep Extension,TRX tricep extensions,3,10,,,,,,"11, 10, 10 — 31 vs 29"
2026-07-19,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),1,13,25,,,,,"13, 11, 11 @ 25 lb — 35 vs 32"
2026-07-19,push,ex05,Single-Arm Shoulder Press,Shoulder press (single-arm),2,11,25,,,,,"13, 11, 11 @ 25 lb — 35 vs 32"
